region	stasjon	long	lat	propprod5	propprod10
Nordkyn	m1	27.78829	70.81864	0.0880638001730429	0.0642458884940235
Nordkyn	m10	27.84612	70.95185	0.031999903868107	0.0556606873387529
Nordkyn	m2	27.88777	70.861359	0.0400295349456509	0.0623270002643421
Nordkyn	m3	28.11941	70.85841	0.0512312516712449	0.0756535892617943
Nordkyn	m4	28.2551	70.87223	0.0250257768046946	0.0536630691595526
Nordkyn	m5	28.3318	70.92631	0.010398509346637	0.0547489855252725
Nordkyn	m6	28.44992	70.97953	0.0640351312459683	0.0247882199101711
Nordkyn	m7	28.22305	70.92791	0.0642807897210906	0.0610971247678752
Nordkyn	m8	28.09749	70.90646	0.0924873931020944	0.0552121670859854
Nordkyn	m9	28.05929	70.96569	0.111449289421351	0.0869432723134187
Bekkarfjord	b1	27.24113	70.61185	0.360586977044322	0.346330322972021
Bekkarfjord	b2	27.14791	70.64897	0.27131680625885	0.251612807369438
Bekkarfjord	b3	27.38268	70.65485	0.142747596295641	0.236301246487499
Bekkarfjord	b4	27.39081	70.70982	0.0535914116012248	0.138105254224959
Bekkarfjord	b5	27.54199	70.6906	0.00918509281020673	0.092079742516975
Bekkarfjord	b6	27.63718	70.73504	0.0252337351726137	0.0362816685990577
Bekkarfjord	b7	27.50527	70.64753	0.0953117802005693	0.158179364127175
Bekkarfjord	b8	27.42439	70.60617	0.315375174074161	0.265372852535564
Ifjord	I1	27.68704	70.40041	0.230436086617479	0.302412728412782
Ifjord	I10	27.38797	70.38029	0.0653258571123096	0.127150877924554
Ifjord	I2	27.66033	70.35488	0.17567421855344	0.273985719935885
Ifjord	I3	27.58868	70.31312	0.22860119082849	0.253797718251907
Ifjord	I4	27.5099	70.26624	0.329585631452411	0.327029012118986
Ifjord	I5	27.36844	70.26957	0.263691179947978	0.289215363330918
Ifjord	I6	27.17135	70.25439	0.325741124801757	0.265586408089847
Ifjord	I7	26.98169	70.26889	0.217849511691635	0.232997355194634
Ifjord	I8	27.07301	70.30453	0.236581596928797	0.219193693474667
Ifjord	I9	27.22314	70.3565	0.146380742498729	0.16647308627636
Komag	K1	30.65871	70.25596	0.121847722057586	0.0760749692619116
Komag	K2	30.55473	70.28114	0.127495557042952	0.0978525813604757
Komag	K3	30.44214	70.30131	0.0690411276756192	0.0938709376602788
Komag	K4	30.28959	70.30679	0.0769835496210077	0.0703878139975466
Komag	K5	30.14442	70.30464	0.0533560769625327	0.059504245616442
Komag	K6	29.99906	70.33639	0.0499945367796137	0.0308806973818081
Komag	K7	29.89548	70.3496	0.0387034994363568	0.0232312344051669
Komag	K8	30.03784	70.37067	0.0326128814864735	0.0361988357011432
Nyborg-VJ	N1	28.66795	70.23057	0.66322052978611	0.567237481110637
Nyborg-VJ	N2	28.73681	70.25459	0.403107461588003	0.486041858544796
Nyborg-VJ	N3	28.83945	70.30974	0.0545479894505699	0.229186215070694
Nyborg-VJ	N4	28.94082	70.34582	0.0387301071776551	0.160855825971577
Nyborg-VJ	N5	29.08033	70.37183	0.164881132207014	0.228501156986305
Nyborg-VJ	N6	29.19964	70.377	0.333926480917818	0.259506471901586
Nyborg-VJ	N7	29.42322	70.38023	0.169922329193991	0.175283747565873
Nyborg-VJ	N8	29.45847	70.3319	0.191219226260258	0.182217941323715
Stjernevann	S1	29.08886	70.46598	0.176888556469708	0.148118337215826
Stjernevann	S2	29.03396	70.50012	0.143985011135595	0.1359511559064
Stjernevann	S3	28.97061	70.5339	0.0446989852376804	0.0979323208727324
Stjernevann	S4	28.86113	70.59093	0.0113266687246219	0.03884727119641
Stjernevann	S5	28.82995	70.62634	0.0530893894112788	0.0532534256852871
Gaissene	g1	26.46455	69.97903	0.331271798928482	0.273992412376383
Gaissene	g2	26.63514	70.00977	0.49136792397695	0.389100844676207
Gaissene	g3	26.53095	70.0549	0.0714644312383977	0.139511541342822
Gaissene	g4	26.57686	70.12355	0.00631180058025934	0.0247687485666233
Gaissene	g5	26.4645	70.17196	0.000256766377609972	0.00373371814387573
Gaissene	g6	26.25332	70.1971	0.00753514835190671	0.0159974666768312
Gaissene	g7	26.18933	70.09388	0.000162860765678257	0.000701556633819726
Gaissene	g8	26.19013	70.04643	0.00107398568019093	0.00688416994098862
